@relation _QueryClassifier_data

@attribute queryclass {ASR_CA,ASR_IMM,ASR_IMM_QA,ASR_QA}
@attribute text string

@data
ASR_CA,'What is my upcoming event?'
ASR_CA,'What are my upcoming events?'
ASR_CA,'What is on my schedule?'
ASR_CA,'What am I going to do tomorrow?'
ASR_CA,'What am I gonna do tomorrow?'
ASR_CA,'What is my plan tomorrow?'
ASR_CA,'What are my plans tomorrow?'
ASR_CA,'What is my plan tomorrow according to my calendar?'
ASR_CA,'What are my plans tomorrow according to my calendar?'
ASR_CA,'What is my plan tomorrow according to my Google calendar?'
ASR_CA,'What are my plans tomorrow according to my Google calendar?'
ASR_CA,'What is my plan tomorrow according to Google calendar?'
ASR_CA,'What are my plans tomorrow according to Google calendar?'
ASR_CA,'What am I supposed to do recently?'
ASR_CA,'What am I supposed to do in future?'
ASR_CA,'What am I supposed to do tomorrow?'
ASR_CA,'What am I supposed to do according to my calendar?'
ASR_CA,'What am I supposed to do according to my Google calendar?'
ASR_CA,'What am I supposed to do according to Google calendar?'
ASR_CA,'What is my schedule?'
ASR_CA,'What are my schedules?'
ASR_CA,'What will I do tomorrow'
ASR_CA,'What is on my calendar'
ASR_CA,'What is on my Google calendar'
ASR_CA,'What events are on my calendar'
ASR_CA,'What events are on my Google calendar'
ASR_CA,'What does my calendar tell me to do?'
ASR_CA,'What does my calendar tell me to do recently?'
ASR_CA,'What does my calendar tell me to do tomorrow?'
ASR_CA,'What does my Google calendar tell me to do?'
ASR_CA,'What does my Google calendar tell me to do recently?'
ASR_CA,'What does my Google calendar tell me to do tomorrow?'
ASR_CA,'What’s my plan for tomorrow?'
ASR_CA,'What do I have to do tomorrow?'
ASR_CA,'What’s my next obligation?'
ASR_CA,'What’s my next event?'
ASR_CA,'What’s on my agenda for the next few weeks?'
ASR_CA,'Am I free next Friday?'
ASR_CA,'Am I free May 30th?'
ASR_CA,'Do I have any free days in May?'
ASR_CA,'Can I go to lunch next Friday?'
ASR_CA,'When does this event end?'
ASR_CA,'When do classes end?'
ASR_CA,'When do I fly home?'
ASR_CA,'What time is my flight home?'
ASR_IMM,'Lucida, what does this sign say?'
ASR_IMM,'Lucida, what is it?'
ASR_IMM,'Lucida, what does this image represent?'
ASR_IMM,'Lucida, what is the name of this thing?'
ASR_IMM,'Who is in this picture?'
ASR_IMM,'Who is in the image?'
ASR_IMM,'Who appears in it?'
ASR_IMM,'Who shows up in the photo?'
ASR_IMM,'Who are in this picture?'
ASR_IMM,'Who is in this uploaded image?'
ASR_IMM,'Who is it?'
ASR_IMM,'Who is this guy?'
ASR_IMM,'Who is this girl?'
ASR_IMM,'Who is this woman?'
ASR_IMM,'Who is this group?'
ASR_IMM,'Who\'s in it?'
ASR_IMM,'Who\'s in the image?'
ASR_IMM,'Who\'s in the photo?'
ASR_IMM,'Who\'s in the picture?'
ASR_IMM,'Who\'s in the thing I am uploading?'
ASR_IMM,'What is this book?'
ASR_IMM,'What is the name of this book?'
ASR_IMM,'What is this book is?'
ASR_IMM,'What is this object is?'
ASR_IMM,'What is it?'
ASR_IMM,'What is in it?'
ASR_IMM,'What is in the image?'
ASR_IMM,'What is in the image I am uploading?'
ASR_IMM,'What objects appear in it?'
ASR_IMM,'What shows in this image?'
ASR_IMM,'What appears in the photo?'
ASR_IMM,'What objects can you recognize?'
ASR_IMM,'What can you recognize in it?'
ASR_IMM,'What are you seeing in it?'
ASR_IMM,'What can you see in the image?'
ASR_IMM,'What can yoy identify in it?'
ASR_IMM,'What are you identifying this image as?'
ASR_IMM,'What category does it fit into?'
