@relation sms_test
@attribute calendarclass {calendar,ham}
@attribute text String
@data
ham,'Who is the current president of the United States of America?'
ham,'Who wrote the Walden?'
ham,'Who founded Apple, Inc.?'
ham,'Who is the first man on the moon?'
ham,'Who founded the Black Panthers organization?'
ham,'Who discovered prions?'
ham,'Who are the members of the Rat Pack?'
ham,'Who did Queen Victoria marry?'
ham,'Who were the leaders of the French Revolution?'
ham,'Who ended the Vietnam War?'
ham,'When did Xi JinPing born?'
ham,'When did Albert Einstein die?'
ham,'When will the next iPhone come out?'
ham,'When was the Munich agreement made?'
ham,'When is Easter Sunday in 2014?'
ham,'When was the first flight of the Wright brothers?'
ham,'When was the Halley\'s Comet discovered?'
ham,'When did Mike Tyson win the title?'
ham,'When was the University of Michigan founded?'
ham,'When did Hawaii become a state?'
ham,'Where is Steve Jobs buried?'
ham,'Where was Jack Ma born?'
ham,'Where was the first KFC opened?'
ham,'Where are the Headquarters of Facebook located?'
ham,'Where does Barack Obama live?'
ham,'Where will the 2016 Summer Olympics be held?'
ham,'Where did ISIS come from?'
ham,'Where is the River Nile located?'
ham,'Where is an adults-only Club Med?'
ham,'Where did Christopher Columbus die?'
ham,'What was the number one song on the Billboard Top 100 in 2014?'
ham,'What is the most watched video on YouTube of all time?'
ham,'What nationality is Ted Cruz?'
ham,'What did Ludwig van Beethoven compose?'
ham,'What is the last book of the Bible?'
ham,'What is the total length of the Golden Gate Bridge?'
ham,'What is the most populated city in the world?'
ham,'What is the homosexual residential area in San Francisco called?'
ham,'What is the Avogadro\'s Constant?'
ham,'What sport does David Beckham play?'
ham,'How many weeks are there in a year?'
ham,'How many passengers does Bay Area Rapid Transit serve annually?'
ham,'How many people died in World War 2?'
ham,'How many employees does Google have?'
ham,'How many cups are in a quart?'
ham,'How much is 1 dollar to RMB (Chinese Yuan)?'
ham,'How much water is there in the Lake Erie?'
ham,'How much does Earth weigh?'
ham,'How often does a woman have a period?'
ham,'How fast does a cheetah run?'
ham,'Who founded Google?'
ham,'Who launched Facebook?'
ham,'Who created Amazon?'
ham,'Who is the vice president of the United States?'
ham,'Who is the president of France?'
ham,'Who is the president of China?'
ham,'Who is the father of C++?'
ham,'Who invented Java?'
ham,'Who created Python?'
ham,'Who designed the first car?'
ham,'Who is the richest person in the world?'
ham,'Who is the greatest philanthropist of all time?'
ham,'Who discovered America?'
ham,'Who discovered neutron?'
ham,'Who successful predicted the regular protein secondary structures?'
ham,'Who first identified and isolated DNA?'
ham,'Who is the author of the Harry Potter series?'
ham,'Who is the author of the Canterbury Tales?'
ham,'Who wrote A Brief History of Time?'
ham,'Who wrote the Declaration of Independence?'
ham,'Who composed Für Elise?'
ham,'Who composed Piano Concerto No.5?'
ham,'Who presented the Twin Earth thought experiment?'
ham,'Who led the Confederate Army in the US Civil War?'
ham,'Who led the Cuban Revolution in 1961?'
ham,'Who is the first emperor of the Roman Empire?'
ham,'Who is the first emperor of India?'
ham,'Who is the last emperor of china?'
ham,'Who is the last leader of the Soviet Union?'
ham,'Who gave America its name?'
calendar,'What is my upcoming event?'
calendar,'What are my upcoming events?'
calendar,'What is on my schedule?'
calendar,'What am I going to do tomorrow?'
calendar,'What am I gonna do tomorrow?'
calendar,'What is my plan tomorrow?'
calendar,'What are my plans tomorrow?'
calendar,'What is my plan tomorrow according to my calendar?'
calendar,'What are my plans tomorrow according to my calendar?'
calendar,'What is my plan tomorrow according to my Google calendar?'
calendar,'What are my plans tomorrow according to my Google calendar?'
calendar,'What is my plan tomorrow according to Google calendar?'
calendar,'What are my plans tomorrow according to Google calendar?'
calendar,'What am I supposed to do recently?'
calendar,'What am I supposed to do in future?'
calendar,'What am I supposed to do tomorrow?'
calendar,'What am I supposed to do according to my calendar?'
calendar,'What am I supposed to do according to my Google calendar?'
calendar,'What am I supposed to do according to Google calendar?'
calendar,'What is my schedule?'
calendar,'What are my schedules?'
calendar,'What will I do tomorrow'
calendar,'What is on my calendar'
calendar,'What is on my Google calendar'
calendar,'What events are on my calendar'
calendar,'What events are on my Google calendar'
calendar,'What does my calendar tell me to do?'
calendar,'What does my calendar tell me to do recently?'
calendar,'What does my calendar tell me to do tomorrow?'
calendar,'What does my Google calendar tell me to do?'
calendar,'What does my Google calendar tell me to do recently?'
calendar,'What does my Google calendar tell me to do tomorrow?'
